ID,Version,Language_ID,Parameter_ID,Code_ID
130,1.0,29,50,50-B
131,1.0,29,51,51-B
132,1.0,45,51,51-C
133,1.0,22,52,52-C
134,1.0,40,52,52-C
135,1.0,45,52,52-C
136,1.0,59,52,52-B
137,1.0,28,54,54-A
138,1.0,53,54,54-NA
139,1.0,59,54,54-B
140,1.0,27,55,55-B
141,1.0,29,55,55-C
142,1.0,42,55,55-C
143,1.0,59,55,55-B
144,1.0,29,56,56-B
145,1.0,32,56,56-A
146,1.0,36,56,56-A
147,1.0,37,56,56-B
148,1.0,41,56,56-C
149,1.0,45,56,56-C
150,1.0,49,56,56-B
151,1.0,61,56,56-A
152,1.0,44,58,58-D
153,1.0,45,58,58-C
154,1.0,26,60,60-B
155,1.0,27,60,60-B
156,1.0,40,60,60-C
157,1.0,59,60,60-B
158,1.0,49,62,62-NA
159,1.0,59,62,62-C
160,1.0,49,64,64-B
161,1.0,59,64,64-B
162,1.0,26,65,65-B
163,1.0,49,65,65-D
164,1.0,21,66,66-B
165,1.0,29,67,67-B
166,1.0,40,67,67-C
167,1.0,53,67,67-C
168,1.0,22,68,68-B
169,1.0,36,68,68-A
170,1.0,59,68,68-D
171,1.0,27,69,69-C
172,1.0,54,69,69-B
173,1.0,2,70,70-C
174,1.0,40,71,71-A
175,1.0,59,71,71-C
176,1.0,22,72,72-B
177,1.0,27,72,72-B
178,1.0,36,72,72-A
179,1.0,42,72,72-B
180,1.0,44,72,72-C
181,1.0,59,72,72-B
182,1.0,71,72,72-B
183,1.0,50,73,73-C
184,1.0,21,74,74-B
185,1.0,29,74,74-D
186,1.0,33,74,74-B
187,1.0,37,74,74-C
188,1.0,65,74,74-D
189,1.0,59,75,75-C
190,1.0,65,75,75-B
191,1.0,36,76,76-C
192,1.0,36,77,77-D
193,1.0,44,77,77-A
194,1.0,13,78,78-A
195,1.0,22,78,78-B
196,1.0,36,78,78-D
197,1.0,42,78,78-D
198,1.0,59,78,78-D
199,1.0,13,79,79-A
200,1.0,22,79,79-B
201,1.0,36,79,79-D
202,1.0,38,79,79-C
203,1.0,42,79,79-D
204,1.0,59,79,79-D
205,1.0,2,80,80-B
206,1.0,13,80,80-A
207,1.0,29,80,80-B
208,1.0,36,80,80-D
209,1.0,39,80,80-D
210,1.0,42,80,80-D
211,1.0,32,81,81-A
212,1.0,42,81,81-D
213,1.0,49,81,81-B
214,1.0,58,81,81-A
215,1.0,59,81,81-B
216,1.0,21,82,82-B
217,1.0,28,82,82-A
218,1.0,44,82,82-X
219,1.0,49,82,82-C
220,1.0,36,83,83-D
221,1.0,40,83,83-D
222,1.0,42,83,83-D
223,1.0,36,84,84-A
224,1.0,39,84,84-D
225,1.0,40,84,84-D
226,1.0,36,85,85-D
227,1.0,40,85,85-D
228,1.0,42,85,85-D
229,1.0,49,85,85-C
230,1.0,53,85,85-D
231,1.0,54,85,85-C
232,1.0,44,86,86-X
233,1.0,53,86,86-NA
234,1.0,42,87,87-C
235,1.0,22,88,88-C
236,1.0,32,88,88-B
237,1.0,36,88,88-D
238,1.0,42,88,88-D
239,1.0,44,88,88-D
240,1.0,45,88,88-C
241,1.0,53,88,88-B
242,1.0,22,89,89-C
243,1.0,32,89,89-A
244,1.0,36,89,89-D
245,1.0,42,89,89-D
246,1.0,44,89,89-D
247,1.0,22,90,90-D
248,1.0,45,90,90-C
249,1.0,53,91,91-NA
250,1.0,36,92,92-D
251,1.0,40,92,92-D
252,1.0,42,92,92-D
253,1.0,44,92,92-D
254,1.0,28,93,93-D
255,1.0,29,93,93-B
256,1.0,36,93,93-D
257,1.0,38,93,93-C
258,1.0,50,93,93-B
259,1.0,2,95,95-B
260,1.0,36,95,95-D
261,1.0,42,95,95-D
262,1.0,44,95,95-D
263,1.0,36,96,96-D
264,1.0,42,96,96-D
265,1.0,44,96,96-D
266,1.0,53,96,96-NA
267,1.0,41,98,98-C
268,1.0,32,99,99-A
269,1.0,36,99,99-D
270,1.0,32,100,100-A
271,1.0,36,100,100-D
272,1.0,49,100,100-B
273,1.0,51,100,100-C
274,1.0,29,101,101-B
275,1.0,36,101,101-D
276,1.0,39,101,101-D
277,1.0,53,101,101-B
278,1.0,36,102,102-NA
279,1.0,59,102,102-B
280,1.0,44,103,103-X
281,1.0,28,104,104-D
282,1.0,29,104,104-A
283,1.0,40,104,104-D
284,1.0,36,105,105-D
285,1.0,42,105,105-D
286,1.0,44,105,105-D
287,1.0,59,105,105-C
288,1.0,40,106,106-D
289,1.0,29,109,109-C
290,1.0,36,109,109-D
291,1.0,42,109,109-D
292,1.0,53,109,109-NA
293,1.0,40,110,110-A
294,1.0,49,110,110-B
295,1.0,29,111,111-B
296,1.0,49,111,111-D
297,1.0,29,112,112-B
298,1.0,53,113,113-D
299,1.0,13,114,114-A
300,1.0,50,114,114-A
301,1.0,51,114,114-A
302,1.0,28,115,115-B
303,1.0,32,115,115-A
304,1.0,27,117,117-C
305,1.0,28,117,117-D
306,1.0,29,117,117-B
307,1.0,36,117,117-D
308,1.0,39,117,117-D
309,1.0,44,117,117-D
310,1.0,36,118,118-D
311,1.0,44,118,118-D
312,1.0,59,118,118-C
313,1.0,36,119,119-D
314,1.0,41,119,119-C
315,1.0,42,119,119-D
316,1.0,44,119,119-D
317,1.0,2,120,120-C
318,1.0,22,120,120-NA
319,1.0,36,120,120-D
320,1.0,42,120,120-D
321,1.0,44,120,120-D
322,1.0,49,120,120-C
323,1.0,36,121,121-D
324,1.0,40,121,121-D
325,1.0,44,121,121-D
326,1.0,46,121,121-B
327,1.0,36,122,122-D
328,1.0,42,122,122-C
329,1.0,44,122,122-D
330,1.0,48,122,122-B
331,1.0,29,123,123-B
332,1.0,48,123,123-B
333,1.0,28,125,125-A
334,1.0,36,125,125-D
335,1.0,42,125,125-D
336,1.0,44,125,125-NA
337,1.0,28,126,126-A
338,1.0,36,126,126-D
339,1.0,42,126,126-D
340,1.0,44,126,126-C
341,1.0,59,126,126-C
342,1.0,2,127,127-C
343,1.0,29,127,127-C
344,1.0,41,127,127-B
345,1.0,46,127,127-C
346,1.0,59,127,127-C
347,1.0,36,128,128-D
348,1.0,38,128,128-C
349,1.0,39,128,128-D
350,1.0,50,128,128-B
351,1.0,52,128,128-B
352,1.0,59,128,128-B
353,1.0,36,129,129-D
354,1.0,3,130,130-C
355,1.0,27,130,130-B
356,1.0,36,130,130-D
357,1.0,46,130,130-B
358,1.0,49,130,130-B
359,1.0,22,131,131-C
360,1.0,27,131,131-B
361,1.0,28,131,131-C
362,1.0,29,131,131-C
363,1.0,36,131,131-D
364,1.0,59,131,131-B
365,1.0,39,133,133-D
366,1.0,50,133,133-C
367,1.0,53,133,133-D
368,1.0,59,134,134-C
369,1.0,59,136,136-C
370,1.0,54,138,138-C
371,1.0,29,139,139-C
372,1.0,53,139,139-C
373,1.0,59,139,139-B
374,1.0,29,140,140-B
375,1.0,38,140,140-B
376,1.0,29,141,141-B
377,1.0,28,142,142-X
378,1.0,39,144,144-D
379,1.0,53,144,144-NA
380,1.0,39,145,145-D
381,1.0,53,145,145-NA
382,1.0,59,145,145-D
383,1.0,72,145,145-C
384,1.0,29,147,147-C
385,1.0,41,147,147-C
386,1.0,28,151,151-D
387,1.0,29,151,151-C
388,1.0,54,151,151-C
389,1.0,41,154,154-C
390,1.0,53,154,154-C
391,1.0,53,155,155-C
392,1.0,22,156,156-B
393,1.0,29,158,158-C
394,1.0,49,158,158-B
395,1.0,50,158,158-A
396,1.0,37,159,159-D
397,1.0,45,159,159-C
398,1.0,49,159,159-B
399,1.0,21,160,160-C
400,1.0,29,162,162-C
401,1.0,54,163,163-C
402,1.0,59,163,163-B
403,1.0,3,164,164-C
404,1.0,29,165,165-B
405,1.0,37,165,165-A
406,1.0,45,165,165-X
407,1.0,49,165,165-D
408,1.0,53,165,165-D
409,1.0,37,167,167-A
410,1.0,29,169,169-A
411,1.0,53,169,169-NA
412,1.0,54,170,170-A
413,1.0,59,170,170-D
414,1.0,39,171,171-D
415,1.0,54,171,171-B
416,1.0,29,172,172-C
417,1.0,59,172,172-B
418,1.0,22,173,173-NA
419,1.0,29,173,173-A
420,1.0,59,173,173-C
421,1.0,22,174,174-C
422,1.0,29,174,174-B
423,1.0,39,174,174-D
424,1.0,59,174,174-D
425,1.0,29,175,175-B
426,1.0,39,175,175-D
427,1.0,59,175,175-D
428,1.0,22,176,176-C
429,1.0,53,176,176-C
430,1.0,32,177,177-A
431,1.0,29,178,178-C
432,1.0,32,178,178-C
433,1.0,33,178,178-C
434,1.0,21,179,179-C
435,1.0,27,179,179-A
436,1.0,29,179,179-C
437,1.0,54,181,181-C
438,1.0,59,181,181-D
439,1.0,54,182,182-C
440,1.0,54,183,183-C
441,1.0,38,184,184-D
442,1.0,2,185,185-B
443,1.0,33,185,185-C
444,1.0,36,185,185-A
445,1.0,40,185,185-D
446,1.0,49,185,185-B
447,1.0,50,185,185-A
448,1.0,54,185,185-B
449,1.0,8,186,186-C
450,1.0,33,186,186-C
451,1.0,36,186,186-A
452,1.0,49,186,186-B
453,1.0,59,186,186-C
454,1.0,49,187,187-C
455,1.0,50,187,187-C
456,1.0,36,190,190-A
457,1.0,39,190,190-D
458,1.0,59,190,190-C
459,1.0,72,190,190-D
460,1.0,32,193,193-C
461,1.0,37,193,193-D
462,1.0,21,194,194-D
463,1.0,29,194,194-B
464,1.0,39,194,194-D
465,1.0,46,194,194-A
466,1.0,54,194,194-A
467,1.0,50,195,195-C
468,1.0,29,196,196-C
469,1.0,52,197,197-A
470,1.0,2,198,198-C
471,1.0,29,198,198-B
472,1.0,40,198,198-X
473,1.0,42,198,198-B
474,1.0,22,199,199-C
475,1.0,29,199,199-C
476,1.0,53,199,199-D
477,1.0,29,201,201-B
478,1.0,53,201,201-D
479,1.0,53,202,202-D
480,1.0,2,203,203-C
481,1.0,37,203,203-C
482,1.0,53,203,203-D
483,1.0,2,204,204-C
484,1.0,28,204,204-A
485,1.0,29,204,204-C
486,1.0,46,204,204-B
487,1.0,39,205,205-D
488,1.0,40,205,205-A
489,1.0,48,205,205-C
490,1.0,48,207,207-B
491,1.0,39,209,209-D
492,1.0,29,210,210-B
493,1.0,38,212,212-C
494,1.0,59,212,212-B
495,1.0,33,213,213-B
496,1.0,39,214,214-D
497,1.0,53,215,215-NA
498,1.0,22,216,216-B
499,1.0,29,216,216-B
500,1.0,33,216,216-A
501,1.0,39,216,216-D
502,1.0,53,216,216-C
503,1.0,40,217,217-C
504,1.0,39,218,218-D
505,1.0,29,219,219-B
506,1.0,40,219,219-D
507,1.0,29,220,220-A
508,1.0,41,220,220-B
509,1.0,29,221,221-A
510,1.0,40,221,221-B
511,1.0,12,222,222-B
512,1.0,27,222,222-NA
513,1.0,29,222,222-C
514,1.0,40,222,222-A
515,1.0,59,222,222-C
516,1.0,21,223,223-D
517,1.0,53,223,223-NA
518,1.0,48,224,224-B
519,1.0,53,224,224-C
520,1.0,2,225,225-C
521,1.0,5,225,225-D
522,1.0,53,225,225-C
523,1.0,27,226,226-A
524,1.0,38,226,226-C
525,1.0,41,226,226-B
526,1.0,22,227,227-NA
527,1.0,40,227,227-A
528,1.0,59,227,227-C
529,1.0,5,228,228-D
530,1.0,13,228,228-D
531,1.0,46,228,228-D
532,1.0,59,228,228-C
533,1.0,36,229,229-NA
534,1.0,41,229,229-A
535,1.0,45,229,229-X
536,1.0,29,230,230-A
537,1.0,12,231,231-B
538,1.0,27,231,231-B
539,1.0,29,231,231-C
540,1.0,32,231,231-A
541,1.0,2,232,232-C
542,1.0,8,232,232-B
543,1.0,30,232,232-A
544,1.0,8,234,234-A
545,1.0,40,234,234-B
546,1.0,59,234,234-B
547,1.0,8,235,235-A
548,1.0,29,235,235-B
549,1.0,59,235,235-B
